# Sample_ID	Tissue_General	Tissue_Specific
GTEX-UTHO-0011-R2A-SM-3GIKC	Brain	Brain - Substantia nigra
GTEX-WHSE-0011-R2A-SM-3P5ZL	Brain	Brain - Substantia nigra
GTEX-WL46-0011-R2A-SM-3LK6O	Brain	Brain - Substantia nigra
GTEX-X4XX-0011-R2A-SM-3P623	Brain	Brain - Substantia nigra
GTEX-X585-0011-R2B-SM-46MVF	Brain	Brain - Substantia nigra
GTEX-XLM4-0011-R2B-SM-4AT5Z	Brain	Brain - Substantia nigra
GTEX-XMD1-0011-R2B-SM-4AT5N	Brain	Brain - Substantia nigra
GTEX-YFC4-0011-R2a-SM-4V6DZ	Brain	Brain - Substantia nigra
GTEX-YJ89-0011-R2b-SM-4RGLT	Brain	Brain - Substantia nigra
GTEX-ZAB4-0011-R2a-SM-4RGNP	Brain	Brain - Substantia nigra
GTEX-ZV68-0011-R2a-SM-4YCDK	Brain	Brain - Substantia nigra
GTEX-111CU-0126-SM-5GZWZ	Adrenal Gland	Adrenal Gland
GTEX-111YS-0126-SM-5987T	Adrenal Gland	Adrenal Gland
GTEX-1122O-0326-SM-5H124	Adrenal Gland	Adrenal Gland
GTEX-117YX-0126-SM-5EGH5	Adrenal Gland	Adrenal Gland
GTEX-11DXX-0126-SM-5EGH7	Adrenal Gland	Adrenal Gland
GTEX-11DXY-1626-SM-5H12L	Adrenal Gland	Adrenal Gland
GTEX-11DXZ-0226-SM-5EGGZ	Adrenal Gland	Adrenal Gland
GTEX-11EM3-0326-SM-5A5KJ	Adrenal Gland	Adrenal Gland
GTEX-11EMC-0526-SM-5EGJN	Adrenal Gland	Adrenal Gland
GTEX-11EQ9-0126-SM-5986I	Adrenal Gland	Adrenal Gland
GTEX-11GSP-0326-SM-5A5KW	Adrenal Gland	Adrenal Gland
GTEX-11I78-1826-SM-5A5M4	Adrenal Gland	Adrenal Gland
GTEX-11NSD-0226-SM-5A5LR	Adrenal Gland	Adrenal Gland
GTEX-11P7K-0126-SM-5986E	Adrenal Gland	Adrenal Gland
GTEX-11TT1-0126-SM-5LUAA	Adrenal Gland	Adrenal Gland
GTEX-11XUK-0126-SM-5CVLK	Adrenal Gland	Adrenal Gland
GTEX-1211K-0126-SM-59HJE	Adrenal Gland	Adrenal Gland
GTEX-12BJ1-0526-SM-5FQUD	Adrenal Gland	Adrenal Gland
GTEX-12WSD-2126-SM-5LZWK	Adrenal Gland	Adrenal Gland
GTEX-12WSG-0726-SM-5EGIG	Adrenal Gland	Adrenal Gland
GTEX-12WSJ-0126-SM-5GCOM	Adrenal Gland	Adrenal Gland
GTEX-12WSK-0326-SM-5GCOJ	Adrenal Gland	Adrenal Gland
GTEX-12WSL-0326-SM-5CVMK	Adrenal Gland	Adrenal Gland
GTEX-12WSN-0926-SM-5GCN1	Adrenal Gland	Adrenal Gland
GTEX-12ZZZ-0926-SM-5N9EQ	Adrenal Gland	Adrenal Gland
GTEX-13111-0326-SM-5DUXF	Adrenal Gland	Adrenal Gland
GTEX-131XF-0126-SM-5DUVF	Adrenal Gland	Adrenal Gland
GTEX-131XG-1326-SM-5DUX4	Adrenal Gland	Adrenal Gland
GTEX-131YS-2026-SM-5P9J8	Adrenal Gland	Adrenal Gland
GTEX-132AR-1726-SM-5EGHQ	Adrenal Gland	Adrenal Gland
GTEX-132NY-2226-SM-5J2LZ	Adrenal Gland	Adrenal Gland
GTEX-132QS-0126-SM-5IFH9	Adrenal Gland	Adrenal Gland
GTEX-1339X-0826-SM-5J2O6	Adrenal Gland	Adrenal Gland
GTEX-1399R-0326-SM-5KM1X	Adrenal Gland	Adrenal Gland
GTEX-1399S-0426-SM-5IFG5	Adrenal Gland	Adrenal Gland
GTEX-1399U-0226-SM-5P9J2	Adrenal Gland	Adrenal Gland
GTEX-139YR-0126-SM-5IJEY	Adrenal Gland	Adrenal Gland
GTEX-13CF3-0126-SM-5IFFM	Adrenal Gland	Adrenal Gland
GTEX-13D11-0426-SM-5LZYA	Adrenal Gland	Adrenal Gland
GTEX-13FH7-0226-SM-5IFGG	Adrenal Gland	Adrenal Gland
GTEX-13FTW-0126-SM-5IJED	Adrenal Gland	Adrenal Gland
GTEX-13N11-0826-SM-5IJFP	Adrenal Gland	Adrenal Gland
GTEX-13O21-0126-SM-5IJE8	Adrenal Gland	Adrenal Gland
GTEX-13O3O-1626-SM-5KM1O	Adrenal Gland	Adrenal Gland
GTEX-13O61-0126-SM-5KM4P	Adrenal Gland	Adrenal Gland
GTEX-13OVI-1226-SM-5J2ME	Adrenal Gland	Adrenal Gland
GTEX-13OW6-1726-SM-5IJGI	Adrenal Gland	Adrenal Gland
GTEX-13OW7-2726-SM-5L3HN	Adrenal Gland	Adrenal Gland
GTEX-13PL7-1026-SM-5MR5C	Adrenal Gland	Adrenal Gland
GTEX-13PVR-0226-SM-5RQJI	Adrenal Gland	Adrenal Gland
GTEX-13QBU-0526-SM-5IJFE	Adrenal Gland	Adrenal Gland
GTEX-13W3W-1326-SM-5LU4T	Adrenal Gland	Adrenal Gland
GTEX-145LT-0126-SM-5S2QJ	Adrenal Gland	Adrenal Gland
GTEX-145MN-0226-SM-5QGPY	Adrenal Gland	Adrenal Gland
GTEX-146FR-1526-SM-5SIB8	Adrenal Gland	Adrenal Gland
GTEX-147F4-2526-SM-5NQBB	Adrenal Gland	Adrenal Gland
GTEX-14BMU-0126-SM-5S2Q9	Adrenal Gland	Adrenal Gland
GTEX-14C38-1726-SM-5RQJC	Adrenal Gland	Adrenal Gland
GTEX-14E1K-0626-SM-5S2PG	Adrenal Gland	Adrenal Gland
GTEX-14H4A-0226-SM-5SI6Q	Adrenal Gland	Adrenal Gland
GTEX-NFK9-1726-SM-3TW8P	Adrenal Gland	Adrenal Gland
GTEX-O5YT-1326-SM-3MJGR	Adrenal Gland	Adrenal Gland
GTEX-O5YV-1126-SM-3LK73	Adrenal Gland	Adrenal Gland
GTEX-OHPK-1326-SM-3MJGN	Adrenal Gland	Adrenal Gland
GTEX-OHPL-1326-SM-3MJGG	Adrenal Gland	Adrenal Gland
GTEX-OIZH-1326-SM-3NB1H	Adrenal Gland	Adrenal Gland
GTEX-OOBK-3125-SM-3LK5R	Adrenal Gland	Adrenal Gland
GTEX-OXRK-0126-SM-3NB1E	Adrenal Gland	Adrenal Gland
GTEX-P4QS-1326-SM-3NMCD	Adrenal Gland	Adrenal Gland
GTEX-P4QT-1326-SM-3NMD3	Adrenal Gland	Adrenal Gland
GTEX-PLZ5-0326-SM-3P614	Adrenal Gland	Adrenal Gland
GTEX-PLZ6-0226-SM-3P61I	Adrenal Gland	Adrenal Gland
GTEX-PW2O-0226-SM-48TC7	Adrenal Gland	Adrenal Gland
GTEX-PWCY-0226-SM-48TD8	Adrenal Gland	Adrenal Gland
GTEX-PWOO-0326-SM-48TDB	Adrenal Gland	Adrenal Gland
GTEX-PX3G-1326-SM-48U18	Adrenal Gland	Adrenal Gland
GTEX-Q2AH-0126-SM-48U2B	Adrenal Gland	Adrenal Gland
GTEX-Q2AI-0226-SM-48U1D	Adrenal Gland	Adrenal Gland
GTEX-Q734-0126-SM-48U1E	Adrenal Gland	Adrenal Gland
GTEX-QCQG-0126-SM-48U27	Adrenal Gland	Adrenal Gland
GTEX-QDVJ-1126-SM-48U1U	Adrenal Gland	Adrenal Gland
GTEX-QDVN-0426-SM-48TZ6	Adrenal Gland	Adrenal Gland
GTEX-QEG5-1826-SM-4R1JP	Adrenal Gland	Adrenal Gland
GTEX-QLQ7-0126-SM-4R1JW	Adrenal Gland	Adrenal Gland
GTEX-QLQW-0226-SM-447BJ	Adrenal Gland	Adrenal Gland
GTEX-QMRM-0126-SM-4R1K9	Adrenal Gland	Adrenal Gland
GTEX-R53T-0226-SM-48FEH	Adrenal Gland	Adrenal Gland
GTEX-R55G-0126-SM-48FDS	Adrenal Gland	Adrenal Gland
GTEX-REY6-1726-SM-48FDL	Adrenal Gland	Adrenal Gland
GTEX-RM2N-0126-SM-48FDD	Adrenal Gland	Adrenal Gland
GTEX-RUSQ-0226-SM-47JWT	Adrenal Gland	Adrenal Gland
GTEX-S32W-0126-SM-4AD61	Adrenal Gland	Adrenal Gland
GTEX-S33H-1326-SM-4AD6A	Adrenal Gland	Adrenal Gland
GTEX-S341-0126-SM-4AD64	Adrenal Gland	Adrenal Gland
GTEX-S3XE-0126-SM-4AD4R	Adrenal Gland	Adrenal Gland
GTEX-S4Q7-0226-SM-4AD5O	Adrenal Gland	Adrenal Gland
GTEX-S4Z8-0126-SM-4GICC	Adrenal Gland	Adrenal Gland
GTEX-SUCS-0526-SM-4DM56	Adrenal Gland	Adrenal Gland
GTEX-T6MO-0126-SM-4DM6X	Adrenal Gland	Adrenal Gland
GTEX-TKQ2-0226-SM-4DM6V	Adrenal Gland	Adrenal Gland
GTEX-TMMY-0126-SM-4DXTP	Adrenal Gland	Adrenal Gland
GTEX-U3ZM-0226-SM-4DXTA	Adrenal Gland	Adrenal Gland
GTEX-U3ZN-0826-SM-4DXSZ	Adrenal Gland	Adrenal Gland
GTEX-U4B1-0126-SM-4DXSN	Adrenal Gland	Adrenal Gland
GTEX-UJMC-0226-SM-4IHLH	Adrenal Gland	Adrenal Gland
GTEX-V1D1-0226-SM-4JBHG	Adrenal Gland	Adrenal Gland
GTEX-V955-0126-SM-4JBH5	Adrenal Gland	Adrenal Gland
GTEX-VJYA-0526-SM-4KL1R	Adrenal Gland	Adrenal Gland
GTEX-VUSG-1526-SM-4KKZH	Adrenal Gland	Adrenal Gland
GTEX-W5WG-1126-SM-4LMK4	Adrenal Gland	Adrenal Gland
GTEX-WFG8-0126-SM-4LVMH	Adrenal Gland	Adrenal Gland
GTEX-WHPG-1526-SM-4M1ZK	Adrenal Gland	Adrenal Gland
GTEX-WQUQ-0126-SM-4OOSS	Adrenal Gland	Adrenal Gland
GTEX-X4EO-1726-SM-4QARN	Adrenal Gland	Adrenal Gland
GTEX-X4LF-0126-SM-4QAS7	Adrenal Gland	Adrenal Gland
GTEX-XMK1-0226-SM-4B65D	Adrenal Gland	Adrenal Gland
GTEX-XQ3S-1726-SM-4BOOD	Adrenal Gland	Adrenal Gland
GTEX-XUJ4-0126-SM-4BOP7	Adrenal Gland	Adrenal Gland
GTEX-XUZC-0226-SM-4BOO7	Adrenal Gland	Adrenal Gland
GTEX-XV7Q-0226-SM-4BRVL	Adrenal Gland	Adrenal Gland
GTEX-XYKS-0926-SM-4BRVG	Adrenal Gland	Adrenal Gland
GTEX-Y114-0526-SM-4TT8V	Adrenal Gland	Adrenal Gland
GTEX-Y3IK-0226-SM-51MRJ	Adrenal Gland	Adrenal Gland
GTEX-Y5LM-0126-SM-4VBRL	Adrenal Gland	Adrenal Gland
GTEX-Y5V5-1326-SM-4V6G9	Adrenal Gland	Adrenal Gland
GTEX-Y5V6-1926-SM-5IFIL	Adrenal Gland	Adrenal Gland
GTEX-Y9LG-0126-SM-5Q59W	Adrenal Gland	Adrenal Gland
GTEX-YB5E-0226-SM-5IFHI	Adrenal Gland	Adrenal Gland
GTEX-YF7O-0126-SM-5IFIR	Adrenal Gland	Adrenal Gland
GTEX-YFCO-0126-SM-4W1YT	Adrenal Gland	Adrenal Gland
GTEX-ZA64-0226-SM-5HL9C	Adrenal Gland	Adrenal Gland
GTEX-ZLFU-0826-SM-4WWBP	Adrenal Gland	Adrenal Gland
GTEX-ZLV1-0226-SM-4WWC1	Adrenal Gland	Adrenal Gland
GTEX-ZLWG-0126-SM-4WWC5	Adrenal Gland	Adrenal Gland
GTEX-ZP4G-0126-SM-4YCE3	Adrenal Gland	Adrenal Gland
GTEX-ZT9W-0126-SM-4YCFD	Adrenal Gland	Adrenal Gland
GTEX-ZT9X-0126-SM-4YCFC	Adrenal Gland	Adrenal Gland
GTEX-ZTSS-0326-SM-5987M	Adrenal Gland	Adrenal Gland
GTEX-ZUA1-1926-SM-5E45E	Adrenal Gland	Adrenal Gland
GTEX-ZVP2-0126-SM-5NQ7D	Adrenal Gland	Adrenal Gland
GTEX-ZVT2-0826-SM-5GIEO	Adrenal Gland	Adrenal Gland
GTEX-ZY6K-0126-SM-5SIAM	Adrenal Gland	Adrenal Gland
GTEX-ZYFG-0926-SM-5BC5U	Adrenal Gland	Adrenal Gland
GTEX-ZYWO-0126-SM-5GZWQ	Adrenal Gland	Adrenal Gland
GTEX-ZZPU-1226-SM-5N9CK	Adrenal Gland	Adrenal Gland
GTEX-1117F-2826-SM-5GZXL	Breast	Breast - Mammary Tissue
GTEX-111YS-1926-SM-5GICC	Breast	Breast - Mammary Tissue
GTEX-1122O-1226-SM-5H113	Breast	Breast - Mammary Tissue
GTEX-117XS-1926-SM-5GICO	Breast	Breast - Mammary Tissue
GTEX-117YX-1426-SM-5H12H	Breast	Breast - Mammary Tissue
GTEX-1192X-2326-SM-5987X	Breast	Breast - Mammary Tissue
GTEX-11DXW-0626-SM-5N9ER	Breast	Breast - Mammary Tissue
GTEX-11DXY-2326-SM-5GICW	Breast	Breast - Mammary Tissue
GTEX-11DXZ-1926-SM-5GZZL	Breast	Breast - Mammary Tissue
GTEX-11DZ1-0326-SM-5N9BN	Breast	Breast - Mammary Tissue
GTEX-11EI6-0626-SM-5985T	Breast	Breast - Mammary Tissue
GTEX-11EM3-1326-SM-5N9C6	Breast	Breast - Mammary Tissue
GTEX-11EMC-2026-SM-5A5JV	Breast	Breast - Mammary Tissue
GTEX-11EQ9-1826-SM-5Q5AJ	Breast	Breast - Mammary Tissue
GTEX-11GS4-2126-SM-5A5KR	Breast	Breast - Mammary Tissue
GTEX-11GSO-1926-SM-5A5K3	Breast	Breast - Mammary Tissue
GTEX-11I78-2226-SM-5PNYA	Breast	Breast - Mammary Tissue
GTEX-11LCK-2426-SM-5HL5F	Breast	Breast - Mammary Tissue
GTEX-11NSD-0926-SM-5N9DR	Breast	Breast - Mammary Tissue
GTEX-11NV4-2026-SM-5N9DG	Breast	Breast - Mammary Tissue
GTEX-11O72-2126-SM-5N9FO	Breast	Breast - Mammary Tissue
GTEX-11OF3-1926-SM-59889	Breast	Breast - Mammary Tissue
GTEX-11ONC-2126-SM-5HL6E	Breast	Breast - Mammary Tissue
GTEX-11P7K-0726-SM-5EGKX	Breast	Breast - Mammary Tissue
GTEX-11P81-1926-SM-5BC53	Breast	Breast - Mammary Tissue
GTEX-11P82-1326-SM-5HL62	Breast	Breast - Mammary Tissue
GTEX-11PRG-0826-SM-5EQ6A	Breast	Breast - Mammary Tissue
GTEX-11TT1-2126-SM-5GU5Y	Breast	Breast - Mammary Tissue
GTEX-11TUW-1826-SM-5BC5D	Breast	Breast - Mammary Tissue
GTEX-11WQC-1726-SM-5GU4W	Breast	Breast - Mammary Tissue
GTEX-11WQK-2426-SM-5GU5C	Breast	Breast - Mammary Tissue
GTEX-11ZTT-2326-SM-5EQLG	Breast	Breast - Mammary Tissue
GTEX-11ZUS-0826-SM-5FQUY	Breast	Breast - Mammary Tissue
GTEX-1211K-1926-SM-5EQLB	Breast	Breast - Mammary Tissue
GTEX-1269C-2426-SM-5FQSN	Breast	Breast - Mammary Tissue
GTEX-12BJ1-1826-SM-5HL9N	Breast	Breast - Mammary Tissue
GTEX-12KS4-0126-SM-5Q5A5	Breast	Breast - Mammary Tissue
GTEX-12WSB-0626-SM-59HJO	Breast	Breast - Mammary Tissue
GTEX-12WSK-2226-SM-5GCO5	Breast	Breast - Mammary Tissue
GTEX-12WSM-1726-SM-5BC6J	Breast	Breast - Mammary Tissue
GTEX-12WSN-1326-SM-5GCNT	Breast	Breast - Mammary Tissue
GTEX-12ZZX-1126-SM-5EGKB	Breast	Breast - Mammary Tissue
GTEX-13113-1726-SM-5GCOO	Breast	Breast - Mammary Tissue
GTEX-1313W-0826-SM-5EQ4T	Breast	Breast - Mammary Tissue
GTEX-1314G-1226-SM-5BC6D	Breast	Breast - Mammary Tissue
GTEX-131XW-0726-SM-5EGK3	Breast	Breast - Mammary Tissue
GTEX-131YS-0626-SM-5EGKL	Breast	Breast - Mammary Tissue
GTEX-132AR-0826-SM-5EGK6	Breast	Breast - Mammary Tissue
GTEX-132NY-0826-SM-5K7Y7	Breast	Breast - Mammary Tissue
GTEX-132Q8-1426-SM-5EGK7	Breast	Breast - Mammary Tissue
GTEX-133LE-1726-SM-5K7VQ	Breast	Breast - Mammary Tissue
GTEX-1399U-1826-SM-5PNZ1	Breast	Breast - Mammary Tissue
GTEX-139T6-1626-SM-5PNYZ	Breast	Breast - Mammary Tissue
GTEX-139T8-0826-SM-5L3DE	Breast	Breast - Mammary Tissue
GTEX-139TU-0626-SM-5KM3X	Breast	Breast - Mammary Tissue
GTEX-13CF2-2026-SM-5K7VI	Breast	Breast - Mammary Tissue
GTEX-13CF3-2126-SM-5IFJP	Breast	Breast - Mammary Tissue
GTEX-13D11-1026-SM-5IJFB	Breast	Breast - Mammary Tissue
GTEX-13FHO-0826-SM-5L3E8	Breast	Breast - Mammary Tissue
GTEX-13FTW-1426-SM-5LZWZ	Breast	Breast - Mammary Tissue
GTEX-13FTX-1126-SM-5N9EN	Breast	Breast - Mammary Tissue
GTEX-13FTY-2226-SM-5J1ND	Breast	Breast - Mammary Tissue
GTEX-13N11-1726-SM-5J1OJ	Breast	Breast - Mammary Tissue
GTEX-13N1W-0626-SM-5MR4U	Breast	Breast - Mammary Tissue
GTEX-13NZ8-0126-SM-5IJCT	Breast	Breast - Mammary Tissue
GTEX-13NZ9-1026-SM-5MR5K	Breast	Breast - Mammary Tissue
GTEX-13NZB-2126-SM-5MR4Y	Breast	Breast - Mammary Tissue
GTEX-13O3O-0826-SM-5K7WE	Breast	Breast - Mammary Tissue
GTEX-13O3P-0826-SM-5L3DH	Breast	Breast - Mammary Tissue
GTEX-13O3Q-2226-SM-5KM4O	Breast	Breast - Mammary Tissue
GTEX-13O61-1826-SM-5KM4I	Breast	Breast - Mammary Tissue
GTEX-13OW5-2226-SM-5L3HC	Breast	Breast - Mammary Tissue
GTEX-13OW8-0226-SM-5K7UP	Breast	Breast - Mammary Tissue
GTEX-13PL6-2926-SM-5L3I2	Breast	Breast - Mammary Tissue
GTEX-13PVQ-1026-SM-5KM3M	Breast	Breast - Mammary Tissue
GTEX-13QIC-2326-SM-5LU5N	Breast	Breast - Mammary Tissue
GTEX-13S86-1226-SM-5S2OA	Breast	Breast - Mammary Tissue
GTEX-13W3W-1226-SM-5LU4H	Breast	Breast - Mammary Tissue
GTEX-13W46-0826-SM-5LU3H	Breast	Breast - Mammary Tissue
GTEX-144GL-2026-SM-5LU3O	Breast	Breast - Mammary Tissue
GTEX-144GM-0926-SM-5O994	Breast	Breast - Mammary Tissue
GTEX-145LT-0726-SM-5S2VM	Breast	Breast - Mammary Tissue
GTEX-145ME-1526-SM-5Q5F2	Breast	Breast - Mammary Tissue
GTEX-145MN-1926-SM-5SIAI	Breast	Breast - Mammary Tissue
GTEX-145MO-0826-SM-5NQBL	Breast	Breast - Mammary Tissue
GTEX-146FH-0826-SM-5SI8T	Breast	Breast - Mammary Tissue
GTEX-14753-2426-SM-5LU8U	Breast	Breast - Mammary Tissue
GTEX-147F4-2826-SM-5NQBN	Breast	Breast - Mammary Tissue
GTEX-14ABY-2126-SM-5QGQZ	Breast	Breast - Mammary Tissue
GTEX-14AS3-1626-SM-5S2OY	Breast	Breast - Mammary Tissue
GTEX-14E6E-1326-SM-5S2NR	Breast	Breast - Mammary Tissue
GTEX-PSDG-1626-SM-48TCQ	Breast	Breast - Mammary Tissue
GTEX-Q2AG-0326-SM-48U1O	Breast	Breast - Mammary Tissue
GTEX-QDT8-0626-SM-48TYW	Breast	Breast - Mammary Tissue
GTEX-QEG5-0726-SM-4R1JQ	Breast	Breast - Mammary Tissue
GTEX-QEL4-2126-SM-447AE	Breast	Breast - Mammary Tissue
GTEX-QMRM-1626-SM-4R1KV	Breast	Breast - Mammary Tissue
GTEX-QVJO-1826-SM-447C9	Breast	Breast - Mammary Tissue
GTEX-R3RS-0626-SM-48FE1	Breast	Breast - Mammary Tissue
GTEX-R53T-1526-SM-48FEK	Breast	Breast - Mammary Tissue
GTEX-R55D-0826-SM-48FEA	Breast	Breast - Mammary Tissue
GTEX-R55F-1726-SM-2TF4R	Breast	Breast - Mammary Tissue
GTEX-REY6-2426-SM-48FF5	Breast	Breast - Mammary Tissue
GTEX-RU72-0626-SM-46MUI	Breast	Breast - Mammary Tissue
GTEX-RUSQ-2026-SM-4GIAK	Breast	Breast - Mammary Tissue
GTEX-RWS6-1926-SM-47JXY	Breast	Breast - Mammary Tissue
GTEX-S32W-2026-SM-4AD6E	Breast	Breast - Mammary Tissue
GTEX-S33H-0326-SM-4AD6N	Breast	Breast - Mammary Tissue
GTEX-S341-1526-SM-4AD6K	Breast	Breast - Mammary Tissue
GTEX-S4P3-1326-SM-4AD6V	Breast	Breast - Mammary Tissue
GTEX-S4Q7-1126-SM-4AD6R	Breast	Breast - Mammary Tissue
GTEX-S4UY-0726-SM-4AD6X	Breast	Breast - Mammary Tissue
GTEX-S7SE-0826-SM-4AT4D	Breast	Breast - Mammary Tissue
GTEX-SE5C-2126-SM-4BRUJ	Breast	Breast - Mammary Tissue
GTEX-SIU7-1626-SM-4BRUK	Breast	Breast - Mammary Tissue
GTEX-T2IS-1526-SM-32QPR	Breast	Breast - Mammary Tissue
GTEX-T2YK-2226-SM-32QPT	Breast	Breast - Mammary Tissue
GTEX-T5JC-2126-SM-32PMO	Breast	Breast - Mammary Tissue
GTEX-T5JW-2026-SM-4DM63	Breast	Breast - Mammary Tissue
GTEX-T6MN-0726-SM-32PML	Breast	Breast - Mammary Tissue
GTEX-T6MO-0326-SM-32QOK	Breast	Breast - Mammary Tissue
GTEX-TKQ1-0226-SM-33HB5	Breast	Breast - Mammary Tissue
GTEX-TKQ2-1826-SM-33HB2	Breast	Breast - Mammary Tissue
GTEX-TML8-1226-SM-32QON	Breast	Breast - Mammary Tissue
GTEX-TMMY-0726-SM-33HBE	Breast	Breast - Mammary Tissue
GTEX-U3ZH-1426-SM-4DXSR	Breast	Breast - Mammary Tissue
GTEX-U3ZN-1926-SM-4DXSG	Breast	Breast - Mammary Tissue
GTEX-U412-1826-SM-4DXTJ	Breast	Breast - Mammary Tissue
GTEX-U8XE-0826-SM-4E3J1	Breast	Breast - Mammary Tissue
GTEX-UJHI-1426-SM-3DB9C	Breast	Breast - Mammary Tissue
GTEX-UPK5-2326-SM-3P5Z8	Breast	Breast - Mammary Tissue
GTEX-UTHO-1026-SM-3GAF7	Breast	Breast - Mammary Tissue
GTEX-VJWN-0726-SM-3GIJ8	Breast	Breast - Mammary Tissue
GTEX-VUSG-2226-SM-4KKZO	Breast	Breast - Mammary Tissue
GTEX-W5X1-2326-SM-3GIL6	Breast	Breast - Mammary Tissue
GTEX-WFON-1826-SM-3GILG	Breast	Breast - Mammary Tissue
GTEX-WI4N-1426-SM-3LK7H	Breast	Breast - Mammary Tissue
GTEX-WOFL-0826-SM-3MJG1	Breast	Breast - Mammary Tissue
GTEX-WRHU-0326-SM-3MJFY	Breast	Breast - Mammary Tissue
GTEX-WXYG-2226-SM-4E3IM	Breast	Breast - Mammary Tissue
GTEX-WY7C-2726-SM-3NB3P	Breast	Breast - Mammary Tissue
GTEX-WYBS-0926-SM-3NM94	Breast	Breast - Mammary Tissue
GTEX-WYJK-1326-SM-3NB2T	Breast	Breast - Mammary Tissue
GTEX-WYVS-1726-SM-3NMAY	Breast	Breast - Mammary Tissue
GTEX-X15G-1626-SM-3NMB3	Breast	Breast - Mammary Tissue
GTEX-X261-0626-SM-3NMD9	Breast	Breast - Mammary Tissue
GTEX-X4EP-2926-SM-3P5YQ	Breast	Breast - Mammary Tissue
GTEX-X4XY-0926-SM-4E3JD	Breast	Breast - Mammary Tissue
GTEX-XBED-1626-SM-47JYN	Breast	Breast - Mammary Tissue
GTEX-XGQ4-0926-SM-4AT4U	Breast	Breast - Mammary Tissue
GTEX-XMD1-0826-SM-4AT52	Breast	Breast - Mammary Tissue
GTEX-XMD2-0926-SM-4WWEF	Breast	Breast - Mammary Tissue
GTEX-XMK1-1126-SM-4IHJ8	Breast	Breast - Mammary Tissue
GTEX-XOT4-0726-SM-4GIAW	Breast	Breast - Mammary Tissue
GTEX-XQ3S-1326-SM-4BOPQ	Breast	Breast - Mammary Tissue
GTEX-XQ8I-2426-SM-4WAXY	Breast	Breast - Mammary Tissue
GTEX-XUJ4-1926-SM-4BOOV	Breast	Breast - Mammary Tissue
GTEX-XUW1-2326-SM-4BOO5	Breast	Breast - Mammary Tissue
GTEX-XUZC-1626-SM-4BRVP	Breast	Breast - Mammary Tissue
GTEX-XV7Q-2326-SM-4BRVZ	Breast	Breast - Mammary Tissue
GTEX-XYKS-1326-SM-4BRUN	Breast	Breast - Mammary Tissue
GTEX-Y111-2026-SM-4SOJA	Breast	Breast - Mammary Tissue
GTEX-Y114-2026-SM-4TT7L	Breast	Breast - Mammary Tissue
GTEX-Y3I4-1526-SM-4TT7K	Breast	Breast - Mammary Tissue
GTEX-Y3IK-2326-SM-4WWDT	Breast	Breast - Mammary Tissue
GTEX-Y5LM-1726-SM-4VDSX	Breast	Breast - Mammary Tissue
GTEX-Y5V5-2126-SM-4WWFO	Breast	Breast - Mammary Tissue
GTEX-Y5V6-2126-SM-4WWFX	Breast	Breast - Mammary Tissue
GTEX-Y8E4-1626-SM-5S2MW	Breast	Breast - Mammary Tissue
GTEX-Y8LW-1626-SM-5IFHX	Breast	Breast - Mammary Tissue
GTEX-Y9LG-1426-SM-5IFJZ	Breast	Breast - Mammary Tissue
GTEX-YB5E-1726-SM-5IFJ3	Breast	Breast - Mammary Tissue
GTEX-YB5K-1626-SM-5IFIN	Breast	Breast - Mammary Tissue
GTEX-YEC3-1026-SM-5IFI5	Breast	Breast - Mammary Tissue
GTEX-YFC4-1426-SM-5IFJG	Breast	Breast - Mammary Tissue
GTEX-YFCO-1826-SM-4W1YH	Breast	Breast - Mammary Tissue
GTEX-YJ8O-2226-SM-5IFHW	Breast	Breast - Mammary Tissue
GTEX-ZA64-1526-SM-5CVMD	Breast	Breast - Mammary Tissue
GTEX-ZAB4-2526-SM-5HL8M	Breast	Breast - Mammary Tissue
GTEX-ZAJG-0626-SM-5HL8X	Breast	Breast - Mammary Tissue
GTEX-ZC5H-2626-SM-5J2MG	Breast	Breast - Mammary Tissue
GTEX-ZDTT-2126-SM-5S2OJ	Breast	Breast - Mammary Tissue
GTEX-ZDXO-0126-SM-5S2ND	Breast	Breast - Mammary Tissue
GTEX-ZDYS-1126-SM-5K7UB	Breast	Breast - Mammary Tissue
GTEX-ZEX8-2226-SM-57WC6	Breast	Breast - Mammary Tissue
GTEX-ZF29-1926-SM-5S2P1	Breast	Breast - Mammary Tissue
GTEX-ZF2S-2026-SM-5E461	Breast	Breast - Mammary Tissue
GTEX-ZF3C-2326-SM-5S2MZ	Breast	Breast - Mammary Tissue
GTEX-ZLFU-2126-SM-4WWEV	Breast	Breast - Mammary Tissue
GTEX-ZLV1-1426-SM-4WWES	Breast	Breast - Mammary Tissue
GTEX-ZPIC-1126-SM-5BC7F	Breast	Breast - Mammary Tissue
GTEX-ZQG8-0726-SM-5P9H9	Breast	Breast - Mammary Tissue
GTEX-ZQUD-1926-SM-51MSA	Breast	Breast - Mammary Tissue
GTEX-ZT9W-2026-SM-51MRA	Breast	Breast - Mammary Tissue
GTEX-ZTTD-1026-SM-51MRD	Breast	Breast - Mammary Tissue
GTEX-ZTX8-1226-SM-4YCE9	Breast	Breast - Mammary Tissue
GTEX-ZU9S-1926-SM-5NQBP	Breast	Breast - Mammary Tissue
GTEX-ZUA1-1526-SM-59HLS	Breast	Breast - Mammary Tissue
GTEX-ZV6S-1826-SM-5NQ8D	Breast	Breast - Mammary Tissue
